s | Zwei Themen die Perot immer wieder anspricht Rezession und Bürokratie | machen | ihnen besonders zu schaffen
s | er | half | während des Kommunismus die Gemeinden der orthodoxen Rumänen im Ausland zu kontrollieren
o | Gewerkschaften und Arbeitgeber | forderte | das neue Gesetz zu akzeptieren
o | Uganda | beschuldigt | mit sudanesischen Rebellen eine militärische Offensive in Südsudan begonnen zu haben
s | Vertreter der Aufständischen aus Vlora | sagten | die Waffen niederzulegen und für Normalität in der Stadt zu sorgen
o | den Ermittlungsbehörden | warf | in diesem Bereich nicht umfassend recherchiert zu haben
s | Die Weltgesundheitsorganisation WHO | gefordert | solche Stoffe die Resistenzen hervorrufen können in der Landwirtschaft nicht einzusetzen
o | die US-Investmentbank Salomon Brothers | beauftragt | seine Firma darauf vorzubereiten
s | die Regierung von Ministerpräsident Alain Juppé | beantragte | die Ende des Jahres auslaufende EU-Richtlinie zur Sommerzeit nicht mehr zu verlängern
s | 15 Prozent der 16- bis 45jährigen Alleinlebenden | angegeben | in den vergangenen drei Jahren im Urlaub sexuelle Kontakte mit vorher unbekannten Partnern gehabt zu haben
s | die Luxemburger Richter | berufen | die Manieren der deutschen Bürokratie zu verbessern
s | der Vorsitzende | sucht | Schreiner zum Rückzug von der schriftlich erklärten Kandidatur zu überreden
s | Zwei Themen die Perot immer wieder anspricht Rezession und Bürokratie | machen | ihnen besonders zu schaffen
o | seinen Finanzminister | drängt | noch stärker die Werbetrommel bei ausländischen Investoren zu rühren noch mehr in Optimismus zu machen
s | man | versucht | die NPD auszugrenzen zu stigmatisieren
s | sein übereifriger Sportkumpel | weigerte | dem Gerempelten Schmerzensgeld und einen Ausgleich für den erlittenen Verdienstausfall zu zahlen
s | die Schweizer | ermächtigt | ihren Mist samt Gülle loszuwerden
s | die Pasdaran die Revolutionswächter | versuchten | die Versammlung aufzulösen
s | die Polizei | versuchte | die von Slumbewohnern unerlaubt gebauten Lehmhütten niederzureißen
o | den Revolutionsgerichten und den Revolutionswächtern | befahl | das Unkraut erbarmungslos auszureißen
o | dem Imam | ermöglichte | die Einlösung seiner Versprechen zu vertagen ohne seine Glaubwürdigkeit gänzlich einzubüßen
s | das Bundesministerium von Frau Merkel | ist | beispielsweise einen größeren Forschungsantrag von uns zu jugendlichen Skinheads der seit zweieinhalb Jahren vorliegt abzulehnen
s | Selbst die Familie des Mittvierzigers | bekommt | den langen Arm der Staatsgewalt zu spüren
s | er | versäumte | die Tat seines Vaters zu kritisieren
o | die Abgeordneten | zwingt | Zustimmung oder Ablehnung ausführlich zu begründen
o | alle bei der Volkskammer registrierten Parteien und Organisationen insgesamt 62 | aufgefordert | Rechenschaft abzulegen
s | Die belgische Regierung | angekündigt | ihre Ausgaben für Verteidigung einzuschränken und die Streitkräfte umzuorganisieren
s | Die OECD | empfahl | die Politik der Privatisierung und Geldwertstabilität fortzusetzen und das Wachstum des Staatsetats noch mehr zu begrenzen
s | Jäggi | erklärt | auf Wunsch des Aufsichtsrates den Posten jederzeit zur Verfügung zu stellen
s | Finanzminister Ioannis Paleokrassas | gehofft | mit dem Verkauf von Staatsbetrieben seine Haushaltseinnahmen um 1,5 Milliarden Mark aufbessern zu können
o | die | bat | ihm bis zum Monatsende aufzulisten welche ihrer Kompetenz unterstellte Unternehmen zu privatisieren es gebe
o | Chris Patten | gewarnt | Parteimitglieder der United Democrats in sein Kabinett das Executive Council zu berufen
s | es | gedenkt | in der Hongkonger Politik ein gewichtiges Wort mitzureden
s | die Sowjetunion | bot | im Zuge eines Friedensvertrages zwischen den beiden Ländern zwei der vier südlichen Inselgruppen abzugeben
s | die USA | wußten | einen sowjetisch-japanischen Friedensvertrag zu verhindern
o | die Zulubewegung Inkatha | unterstütze | um den ANC zu schwächen
s | De Klerk | versuche | die Gewalt in den Schwarzensiedlungen als internen Machtkampf unter Schwarzen darzustellen statt sich der zentralen Rolle der Sicherheitskräfte bei den Unruhen denen in drei Jahren 8000 Menschen zum Opfer fielen zuzuwenden
o | dem ANC | warf | den Verhandlungsprozeß absichtlich gestört und künstlich eine Krisensituation geschaffen zu haben
s | Die Regierung | erklärte | internationale Experten zur Aufklärung von Gewaltakten ins Land zu holen
s | er | schlug | Zulagen für Arbeitnehmersparverträge zur Finanzierung der Pflegeversicherung einzusetzen
s | Der russische Regierungschef Jegor Gaidar | appellierte | sich der Gefahr des Totalitarismus zu widersetzen
o | Kafi | forderte | zu demokratischen Reformen zurückzukehren
s | es daß katholisch geprägte Länder wie Italien und Spanien ein liberaleres als Deutschland Abtreibungsrecht hätten | geben | Auch dem deutschen Verfassungsgericht zu denken
o | Hafnia | zwingen | an der Interbank ein überteuertes Aktienpaket von 73 Prozent zu erwerben
s | Hafnia | versucht | einen skandinavischen Versicherungskonzern mit der schwedischen Skandia und der norwegischen Uni Storebrand zu schmieden
s | Das Anfang Juni im Bundestag verabschiedete Gesetz zur Verkürzung der Asylverfahren | sieht | abgelehnte Flüchtlinge schneller als bisher abzuschieben
s | Teilnehmer der Kundgebung | versuchten | die Zufahrt zum Gebäude zu blockieren
s | Hekmatyar | geweigert | der Aufforderung des neuen Präsidenten Burhanuddin Rabbani zum Rückzug aller schwer bewaffneten Mudjaheddin-Kämpfer aus Kabul nachzukommen
s | die Usbeken-Kämpfer Dostams | versucht | dem von der Hezb-e Islami gestellten künftigen Ministerpräsidenten Abdul Sabur Fareed den Zugang nach Kabul zu blockieren
s | Irak | verpflichtet | seine Massenvernichtungswaffen und deren Produktionsanlagen unter Aufsicht der UN zu zerstören
s | Die italienische Zentralbank die die Gerüchte energisch dementierte | gezwungen | um ihre Währung zu stützen
o | die Siebenergruppe der Industrienationen G-7 | aufgefordert | die Bedingungen für die westliche Hilfe an sein Land zu lockern
s | Belgrad | versucht | diese Lieferungen über eine in der Resolution des UN-Sicherheitsrates vorgesehene Ausnahmeregelung aus humanitären Gründen freizubekommen
s | in erster Linie Frauen die als landlose billige Lohnarbeiterinnen oder ganz ohne eigene Absicherung für die Familie ohne Besitz ohne das Recht auf Eigentum auf dem Land schufteten | bekämen | Die Wasserknappheit als Folge der Abholzung ganzer Wälder zu spüren
o | dem Team seiner Kollegen | zumutet | unentgeltlich seine Arbeit mit zu übernehmen
o | den Unionsparteien | warf | den Bogen überspannt indem sie die FDP zu dem Beschluß genötigt haben zu haben
s | Er | forderte | statt dessen den Tag der Deutschen Einheit vom 3. Oktober auf den ersten Sonntag des Monats zu verlegen
o | die G-7-Regierungen | forderte | die Reformstaaten beim Aufbau eines leistungsfähigen öffentlichen Sektors zu unterstützen
s | Er | warnt | die zunehmende Sprachlosigkeit mit stabilen gesellschaftlichen Verhältnissen zu verwechseln
s | offizielle Stellen | zugesichert | wirklichen Kriegsflüchtlingen die Einreise weiterhin zu ermöglichen
o | die G-7-Regierungen | forderte | die Reformstaaten beim Aufbau eines leistungsfähigen öffentlichen Sektors zu unterstützen statt nur Crash-Programme der Privatisierung zu betreiben
s | Der Förderkreis | versuche | Sinti und Roma vom Holocaust-Mahnmal fernzuhalten
o | die Konferenz für Sicherheit und Zusammenarbeit in Europa KSZE | ersucht | ihr dafür eine Frist von 100 Tagen einzuräumen
s | Das Unternehmen | gezwungen | weitreichende Konsequenzen zu ziehen um seinen Bestand zu sichern
s | Das Team unter der US-Chemiewaffenexpertin Karen Jansen | wartete | um es gemäß den UN-Resolutionen zum Ende des Golfkriegs inspizieren zu können
s | Armenien | kündigte | sich aus den Friedensgesprächen der Konferenz für Sicherheit und Zusammenarbeit KSZE für Berg-Karabach zurückzuziehen
s | Keine der Organisationen | betonte | die gesamteuropäische Sicherheit allein zu garantieren
s | Die Staatschefs der Gemeinschaft Unabhängiger Staaten GUS | beschlossen | rasch Friedenstruppen in die Konfliktgebiete der früheren Sowjetunion zu entsenden
s | seine Regierung | strebe | eine funktionierende Verwaltung zu schaffen
s | Ausländische Experten | aufgerufen | bei der Schadensbeseitigung zu helfen
o | Der FDP | warf | nicht mehr zum Beschluß zu stehen
s | die französische Polizei | begonnen | die Blockaden der Lastwagenfahrer auf wichtigen Straßen gewaltsam zu beseitigen
s | Nazli Top | verlangt | einen Rechtsanwalt zu sehen
o | sie | bittet | mit den Schlägen und den Fußtritten aufzuhören
s | Sie | fingen | mir Stromschläge zu geben
s | Ich | versucht | so wie nur irgend möglich stark zu sein
s | die | helfen | Polizeiwillkür und Folter abzuschaffen
s | die Bestellungen | lassen | viel zu wünschen
s | Bonn | aufgefordert | ein besonderes Informatik-Programm für die neuen Bundesländer aufzulegen
s | eine deutsche Bank | gehindert | sich jenseits der Grenzen niederzulassen
s | die Vertretung der kroatischen Gemeinschaft von Herceg-Bosna | beschlossen | eine provisorische Exekutive für die Region zu bilden
s | Die belgische Mitte-Links-Regierung | beschlossen | die allgemeine Militärdienstpflicht bis Ende 1993 abzuschaffen und im Rahmen einer weitgehenden Reorganisation mit dem Ausverkauf militärischen Materials zu beginnen
s | die Großstädte | beraten | Umschichtungen in ihren Förderetats zugunsten des Wohneigentums vorzunehmen
s | Die britische Regierung | versucht | das Projekt des Euro-Fighters Jäger 90 aus dem auszusteigen die deutsche Bundesregierung plant zu retten
s | die deutsche Bundesregierung | plant | aus dem auszusteigen
s | Premierminister John Major | suchte | Bundeskanzler Helmut Kohl und den italienischen Regierungschef Giuliano Amato zur weiteren Kooperation am ``Jäger90''-Projekt zu bewegen
s | Serbische Extremisten | versuchten | die Straßenverbindung zwischen Derventa und Banja Luka in Nordbosnien unter Kontrolle zu bekommen
s | Jedes Mitglied | berechtigt | kurze Einzelfragen zur schriftlichen oder mündlichen Beantwortung an die Bundesregierung zu richten
o | die Kommunen ihrer Länder | aufrufen | Partnerschaften mit Städten in der Gemeinschaft Unabhängiger Staaten GUS zu bilden
s | Rußlands Präsident Boris Jelzin | aufgefordert | unverzüglich die Rahmenbedingungen für privatwirtschaftliche Engagements zu schaffen
s | der Entwurf für die G-7-Initiative | mahnt | die Stabilität und Konvertibilität des Rubels sicherzustellen die staatlichen Dirigismen abzubauen und die Privatisierung zu beschleunigen
s | die Leute aus dem nahen Dorf | hatten | zu essen und zu trinken
o | den Staats- und Regierungschefs der G7-Gruppe | warf | die Interessen der Menschen im Süden auf dem Altar der nördlichen Wachstumsroutine zu opfern
s | Die USA | beabsichtigten | ihre Planungen zur Schwächung Saddams zu intensivieren
o | den in Sarajewo eingeschlossenen Bosniern und Kroaten | helfen | demnächst den serbischen Belagerungsring um ihre Stadt zu durchbrechen
s | Beide Seiten | verpflichtet | den Konflikt friedlich zu lösen
o | Bagdad | aufgefordert | UN-Inspektoren im Land freien Zugang zum Landwirtschaftsministerium zu gewähren
s | die DAK | angekündigt | den Beitragssatz im Osten von August an auf 12,3 Prozent zu senken
s | Die serbische Regierung | kündigte | wegen der UN-Sanktionen wichtige Lebensmittel zu rationieren
s | Mecklinger | bot | sie nach der Hauptversammlung also nach der Abstimmung hineinschauen zu lassen
o | die Menschen | forderte | ihre Heimat nicht zu verlassen
s | Tausende Menschen | versucht | die im Hafen liegenden Schiffe zu entern um so ins Ausland zu gelangen
s | die Arbeitgeber | geweigert | einen Tarifvertrag für das gesamte Bundesland abzuschließen
o | die Bundesregierung | aufgefordert | jetzt endlich alle Steuererhöhungspläne auf den Tisch zu legen
s | Die Verteidiger der beiden Journalisten | kündigten | gegen die Urteile Berufung einzulegen
o | fünf Staaten der Region | rief | Friedenstruppen zu entsenden
o | dem zairischen Präsidenten Mobutu Sese Seko | vorgeworfen | den demokratischen Prozeß in seinem Land zu sabotieren
s | Argentinien | versuchte | die Inseln zu erobern
o | diesen | hindern | eine Sperre zu verlassen
o | Frankreich | forderten | Entschädigungen zu zahlen
o | der SPD | warf | 1987 nur durch Wahlbetrug in Kiel an die Macht gekommen zu sein
o | dem meteorologischen Warndienst | warf | die zu erwartende Stärke des Taifuns heruntergespielt zu haben
s | Gratschow | schlug | einen russischen Offizier als Stellvertreter für den geplanten Nato-Befehlshaber der internationalen Streitmacht einzusetzen
s | die USA | vermögen | uns etwas Akzeptables anzubieten
s | auch die Länder | gefordert | die Selbstverwaltung im Gesundheitswesen zu fördern
o | sie | lud | als Solistin mit dem Leipziger Gewandhausorchester und mit den Berliner Philharmonikern aufzutreten
o | den Shell-Konzern | aufgefordert | seinen Einfluß bei der nigerianischen Regierung geltend zu machen
o | die Wahlkommission | wies | bis zum 7. November die Kandidaten der Partei des Reformers Grigori Jawlinski zu registrieren
s | er | geplant | Rabin zu ermorden
o | die SPD | warnte | nationalistisch motivierte Vorurteile zu kultivieren
s | Führende SPD-Politiker | angekündigt | die Währungsunion zum Thema des Bundestagswahlkampfes 1998 zu machen
s | Ärzte des Ichilow-Krankenhauses in Tel Aviv | versuchten | sein Leben zu retten
o | sowohl die Demonstranten wie die vielen die heute nicht da sind | rief | dem Frieden eine Chance einzuräumen
s | Amir | gab | allein gehandelt und schon zweimal vorher ein Attentat auf Rabin geplant zu haben
s | Die Pädagogik | rät | durch besondere Zuwendung Streicheleinheiten im wörtlichen wie übertragenen Sinn besagte Kinder seelisch so daß sie fähig sich in eine Gruppe zu integrieren werden zu stärken
s | die abgewiesenen Feinschmecker | versuchen | ihre Fracht nach Deutschland zu bringen
o | Auch meinen Untergebenen | empfehle | so etwas möglichst gelassen wegzustecken
s | vor allem die Landbevölkerung | bekommen | Die Härten des Umbruchs zu spüren
s | Der Staatssekretär im Bonner Ministerium für wirtschaftliche Zusammenarbeit und Entwicklung Wighard Härdtl | versuchte | in Rangun das Terrain für die Wiederaufnahme der 1988 unterbrochenen Hilfe zu erkunden
s | Aung San Suu Kyi selbst deren Haus in der University Avenue in Rangun seit ihrer Freilassung im Juli 1995 wieder zu einem Zentrum der Reformbemühungen geworden ist | bat | mit Investitionen und Auslandshilfe noch abzuwarten
s | Ich | appelliere | hierzulande mit dieser Technologie Exportchancen zu wahren und Arbeitsplätze zu sichern
o | die Ministerpräsidenten Herrn Professor Biedenkopf in Sachsen Herrn Dr. Stolpe in Berlin-Brandenburg Herrn Dr. Seite in Mecklenburg-Vorpommern Herrn Dr. Höppner in Sachsen-Anhalt und Herrn Dr. Vogel in Thüringen | fordere | Begleitausschüsse für die Verwendung dieser Projektmittel unter Einschluß der Sozialpartner einzurichten
o | Bund und Länder | fordere | für die Finanzierung dieser Gesellschaften über 1995 hinaus zu sorgen
o | die Metallarbeitgeber | fordere | in diesem Sinne für den Flächentarifvertrag einzustehen und ihn mit uns weiterzuentwickeln
s | Ich | lernte | mit der Pistole umzugehen und Wache zu schieben
s | er | entschieden | von Diplomatie und Politik genug zu haben
s | Rabin | trat | in neun Monaten Frieden mit Israels arabischen Nachbarn zu schaffen
s | der | warb | mit der Reizformel 30 nicht den nächsten Großkonflikt anzusteuern sondern Realpolitik zu betreiben
o | die Arbeitgeber | hindern | die 35-Stunden-Woche zu unterlaufen
s | Die CDU-Frauen | fordern | das Steuersystem ökologisch weiterzuentwickeln
s | die Ärzte | suchten | In Notoperationen das Leben des blutüberströmten Mannes zu retten
s | Er | vorgeben | nichts damit zu tun zu haben
s | Wir | bekommen | genug aufwieglerische Worte zu hören
o | die Mitglieder der Regierung | beschuldigten | mit den Terroristen der PLO zu kollaborieren
o | mir | befahl | es zu tun
s | die | glauben | sich mit dem Verbrechen schmücken zu können
s | die Mehrheit der in Essen versammelten Delegierten | weigerte | dieser Vorstandslinie zu folgen
s | Engelhardt der durch maßlose Kritik am Kruzifix-Urteil des Bundesverfassungsgerichts Rechtssicherheit und Rechtsfrieden bedroht sieht | warnte | das Symbol der Christen das Kreuz inhaltlich so daß es nur noch Symbol einer verdämmerten abendländischen Tradition sei weit zu entleeren
s | Schmuggler | versuchen | von erheblichen Preisunterschieden zu profitieren
s | die Kommunalvertreter | einigen | den Bad Homburger Oberbürgermeister Wolfgang Assmann der sein Interesse an dem Posten bekundet hat offiziell als Bewerber vorzuschlagen
s | Der Anwalt des Klägers | gefordert | die Entscheidungen der Ausschüsse gerichtlich voll nachzuprüfen
o | Walesa | forderte | sich ihm in einer Fernsehdebatte zu stellen
s | Forscher | glauben | aus dem Hinweise auf die Lebenserwartung eines Menschen zu erkennen
s | Die Besitzer | gebeten | eine Werkstatt aufzusuchen
s | Alkohol | hilft | der Wirklichkeit zu entfliehen
s | er | räumte | über das Info-Telefon Schlagworte wie Heil und Sieg und Nieder mit der roten Front verbreitet zu haben
s | das Bonner Unternehmen | sicherte | auf betriebsbedingte Kündigungen bis Ende 1997 zu verzichten
s | Der erfolglose Schriftsteller | versucht | den deutschen Kriegsverbrecher Klaus Barbie zu töten
s | die Naturfreunde | verlangen | für jede Getränkeart einen Mindestanteil an Pfandflaschen in der Verpackungsverordnung vorzuschreiben
s | eine Delegation kanadischer Ureinwohner und Trapper | bemüht | das Inkrafttreten am 1. Januar noch zu verhindern
s | Sie | bat | das Inkrafttreten der Verordnung zu verschieben
s | niemand | glaubt | vor Ort das Kräftemessen zu gewinnen
s | Er | beantragt | das nigerianische Militärregime für illegal zu erklären
s | Meinberg | versucht | ein neues Menschenbild das vom Homo Oecologicus zu entwerfen
s | Agrarkommissar Franz Fischler | wußte | Mit Sorge registriere man bei der Europäischen Union EU die Schwierigkeiten des wirtschaftlich starken Österreich bei der Erfüllung der Maastricht-Kriterien in seine Heimat zu berichten
s | Wer | glaubt | den Begriff als reine Ortsbezeichnung inhaltlich in der Balance halten zu können
s | Die CDU | gab | verhindern daß die SPD schwach wird zu müssen
s | die Berliner CDU | erklärt | in einzelnen Berliner Bezirken auch PDS-Bürgermeister wählen zu wollen
s | alles in mir | wehrt | das widerstandslos hinzunehmen
s | der Senat | versucht | eine Haushaltsmehrheit mit der PDS oder den Grünen zu bekommen
o | uns | zutrauen | das in der Führung wirklich zu leisten
s | keine Gründe der sog. Staatsräson | rechtfertigen | Diese Rolle zu übernehmen
o | auch die Israelis | angespornt | auf diversen Messen in der Volksrepublik das Beste was sie haben zu zeigen
s | Die deutsche Seite | angeboten | chinesische Offiziere in Deutschland auszubilden
s | Der Rabin-Attentäter Jigal Amir | bekräftigt | den Mord an dem israelischen Ministerpräsidenten ohne Mittäter verübt zu haben
s | Amir | versuchte | die Tat zu rechtfertigen
s | März | angekündigt | die Heinrichsthaler Milchwerke und die Nordmolkerei Deller abzugeben
s | Der Rosenheimer Vorstand | schließt | sich im Zuge der Entschuldung von weiteren Beteiligungen zu trennen
o | den 54jährigen Dänen | gebeten | länger in Washington zu bleiben um ihn nach seiner Rückkehr aus Japan noch sprechen zu können
s | Wer | zutraut | sein Geld ohne Beratung anzulegen
o | Bundesinnenminister Manfred Kanther CDU | forderte | über eine abgestufte Rückführungsregelung nachzudenken
s | Er | fordert | die Telefon-Regulierung den Berliner Kartellwächtern zu übertragen
s | Der Gesamtmetall-Vorstand | erklärte | mit der IG Metall über das von Zwickel vorgeschlagene Bündnis für Arbeit zu reden
s | Die CDU | prüfe | die Tatbestände Beleidigung Volksverhetzung oder Straftaten gegen die Landesverteidigung zu verschärfen
o | dem Verfassungsgericht | bescheinigten | die richtige Abgrenzung in einem schwierigen Wertekonflikt getroffen zu haben
s | Die IG BAU | denkt | nachzugeben
s | Er | kündigte | Wettbewerbsnachteile die dem mittelständischen Handel in Innenstädten gegenüber großen Einkaufszentren entstehen könnten auszuräumen
o | die Kommission | beauftragt | einen weiteren Bericht über die Situation von Asylsuchenden und Flüchtlingen zu erarbeiten
s | Die 16 Nato-Botschafter in Brüssel | standen | die Kür offiziell zu vollziehen
o | den im Exil lebenden Palästinensern | erlaube | in ihr Land zurückzukommen und mitzubestimmen
s | Fallahian | verlangt | dieses Verfahren niederzuschlagen
o | den im Exil lebenden Palästinensern | erlaube | in ihr Land zurückzukommen und mitzubestimmen
s | er | versucht | den britischen Thronfolger Prinz Charles aus nächster Nähe aufzufrischen
s | Der von den USA vorgelegte Verfassungsentwurf | sieht | Karadzic die Kandidatur für ein politisches Amt zu verwehren und ihn sowie andere bosnische Serbenführer gerichtlich zu verfolgen
o | den USA | warf | einseitig für die bosnischen Moslems Partei zu ergreifen
s | der frischgekürte Präsident | verpflichtet | viele Mitstreiter für ihren Einsatz mit Regierungsposten zu belohnen
s | Jüngere politisch noch wenig erfahrene Minister | bekamen | zu spüren
o | die Regierung | zu zwingen | zum Abbau der öffentlichen Defizite nicht nur Steuern und Abgaben zu erhöhen sondern auch Ausgaben zu senken
s | Stahmer | appellierte | den Auftrag für Sondierungsgespräche mit der CDU zu erteilen
s | Auch der stellvertretende SPD-Bundesvorsitzende Wolfgang Thierse | appellierte | die Möglichkeit der großen Koalition offenzuhalten
s | Thierse ebenfalls | empfahl | erst im Dezember eine Entscheidung zu treffen
o | die Luftwaffe | verpflichtete | die 23jährige Alice Miller zur Prüfung zuzulassen
o | den Senat | beauftragte | den niedersächsischen Vorschlag zu unterstützen beziehungsweise eine ähnliche Bundestagsinitiative vorzubereiten
s | er | begonnen | das Wort Hilfe in den Schnee zu graben
o | dem früheren Staatschef | geholfen | Schwarzgelder in einer Höhe von umgerechnet rund 55 Millionen Mark auf Geheimfonds umzuleiten
o | Beide Kriegsparteien | drängten | an den Verhandlungstisch zurückzukehren
o | die Bundesregierung | aufgefordert | den Abschiebeschutz auszuweiten
s | Powell | beschlossen | sich nicht zu bewerben
o | ihre niedersächsischen und saarländischen Kollegen Gerhard Schröder und Oskar Lafontaine | forderte | Scharping nicht immer nur zu kritisieren
o | die Berliner SPD | warnten | zum Mehrheitsbeschaffer in der Koalition zu werden
o | den Waisen | helfe | ihre traumatischen Erfahrungen zu verarbeiten
s | Der Verteidigungsminister der Elfenbeinküste Leon Konan Koffi | appellierte | konkrete Hilfsprogramme für die betroffenen Kinder zu beschließen und umzusetzen
o | der Bundesregierung | warf | mit dem Verteidigungs- und Außenamtshaushalt die falschen Weichen zu stellen
s | Die Berliner SPD | beschlossen | mit der CDU Sondierungsgespräche für Koalitionsverhandlungen aufzunehmen
o | Großbritannien | werfen | damals in der Maschine britische Elite-Soldaten ins Land gebracht zu haben
o | Serben Kroaten und Moslems | zwingen | Beschuldigte auszuliefern
o | dem seit Mai inhaftierten Schneider | wirft | beim Bankrott seines Immobilienimperiums im Frühjahr 1994 insgesamt 245 Millionen Mark über Schweizer Konten beiseite geschafft zu haben
o | die Bundesregierung | forderte | das Parlament über die aktive Beteiligung des Bundeskriminalamts an Einfuhr und Vertrieb großer Mengen Drogen nach Europa zu informieren
s | er | wußte | sich durch einen radikalen Schritt zu helfen
s | das | anstrengen | die Stabilitätskriterien zu erfüllen
s | die Republikaner | hoffen | Clinton ablösen zu können
s | die Demokraten | versucht | die von den Republikanern angestrebten Ausgabenkürzungen im Sozialbereich zum Hauptthema zu machen
s | Das Goldman-Konsortium | zugesagt | alle Verbindlichkeiten der Immobilie zu übernehmen und 45 Millionen Dollar zur kurzfristigen Finanzierung bereitzustellen
s | die | erlaubt | sich im Internet per Mausklick zu bewegen
o | mir | Gestatten | diesen feierlichen Anlaß zu einer Überlegung über jenes Phänomen welches man Postkommunismus nennt zu nutzen
o | die | lernte | zu ertragen
s | die | versuchen | sich in alle entwurzelten Seelen hineinzudrängen
s | Tschernomyrdin | bekommen | Die ersten letzten Freitag zu spüren
s | der | wagte | das Messer an die heilige Kuh Mathematikunterricht zu legen
s | Ausbildungsförderung | helfen | in Zukunft mehr jungen Menschen eine Schul- und Hochschulausbildung zu ermöglichen
s | Uta | versucht | die unter die Leute zu bringen
s | Diese Leute hier mit großem Bahnhof zu empfangen | protestierte | Diese Leute hier mit großem Bahnhof zu empfangen
s | das Korps der Altmärker selbst | gezwungen | sich aufzulösen
s | sie | gingen | die Debatten über das deutsche Kaiserreich denen in den letzten Jahrzehnten gegolten Mommsens Interesse hat neu zu bedenken
o | auch die mit ihrer Lebensleistung sichtlich zufriedenen Teilnehmer | zwangen | die Waffen der Kritik gegen sich selbst zu richten
s | Washington | versuche | durchzusetzen daß die EU diese Bohnen ohne Kennzeichnungspflicht auf den Markt lasse
s | Voigt | schlägt | die Funktion des stellvertretenden Oberkommandierenden der immer ein Europäer sei zu stärken indem ihm übertragen wenn daran beteiligt nur europäische Soldaten sind die Verantwortung für alle Nato- und WEU-Einsätze im Auftrag der UN wird
s | Die SPD | versäumt | sich über ihre traditionelle gesellschaftliche Verankerung hinaus neuen Zielgruppen und sozialen Milieus zu öffnen
s | Ulmanis | versucht | nicht nur Siegerist auszugrenzen sondern auch jene politischen Kräfte denen er selbst angehört an der Macht zu halten
s | die Aussteller | verpflichten | die international geltenden Copyright-Regeln anzuerkennen und keine Kopien zu zeigen
s | Spezielle Teams die zur Bekämpfung des organisierten Verbrechens gebildet worden waren | glaubten | dieses mit eigenen Waffen schlagen am besten zu können
s | die Ermittlungsbeamten | hofften | Mit der Organisation von Transporten weicher Drogen an die Hintermänner des internationalen Handels mit harten Drogen zu gelangen
s | Beide Bewegungen | geben | eine vergessene schlafende Seele des Volkes aufzuwecken
s | Die Regierung von Bosnien-Herzegowina | begonnen | den Wiederaufbau der von ihr kontrollierten Landesteile vorzubereiten
o | die Wähler | aufgerufen | gegen die konservative Revolution der Republikaner die seit einem Jahr in Washington die Mehrheit haben ihre Stimme abzugeben
s | Die Regierung | beschloß | eine Untersuchungskommission zu dem Anschlag einzusetzen
s | Berlins SPD | versuchte | das Wahlergebnis anzunehmen
s | Ingrid Stahmer | vorgeschlagen | eine parteiinterne Kommission für soziale Stadtpolitik einzusetzen
s | sie | hindern | Umfrageergebnisse und Wahlergebnisse zu vergleichen und politisch zu bewerten wenn die Fakten einen bemerkenswerten Rekord an Irrtümern offenbaren
o | den Waisen | helfe | ihre traumatischen Erfahrungen zu verarbeiten
s | Der Verteidigungsminister der Elfenbeinküste Leon Konan Koffi | appellierte | konkrete Hilfsprogramme für die betroffenen Kinder zu beschließen und umzusetzen
s | Unicef | versuche | die Prozeßvorbereitungen für die Kinder denen vorgeworfen Beteiligung am Völkermord wird zu beschleunigen
s | der Kanzler | verlangte | den Streit über die Europäische Währungsunion zu beenden
o | die SPD | bat | diese ungute Debatte so wie möglich schnell zu beenden
s | Die Regierung | weigere | eine aktive Arbeitsmarktpolitik zu betreiben
s | Die Bonner Koalitionsparteien | geeinigt | das Ausländerrecht in einigen Punkten zu liberalisieren
s | die | verdächtigt | an der Ermordung des Ministerpräsidenten Yitzhak Rabin beteiligt gewesen zu sein
s | der 27jährige Yigal Amir | angegeben | als Einzeltäter gehandelt zu haben
s | Assekuranzen | versuchen | ihren Annahmezwang in der Autohaftpflicht-Sparte zu umgehen indem sie von Nichtdeutschen mehr Geld verlangen
o | der Organisation | untersagt | die TV-Übertragungsrechte an den Begegnungen weiter zentral zu vermarkten
o | die Firma | forderte | den Boden zu sanieren
s | das Landratsamt | entschieden | die Verursacherin heranzuziehen
o | dem seit Mai inhaftierten Schneider | wirft | beim Bankrott seines Immobilienimperiums im Frühjahr 1994 insgesamt 245 Millionen Mark über Schweizer Konten beiseite geschafft zu haben
o | Frankreich und England | beschuldigte | eine geheime Absprache zur gemeinsamen Finanzierung der Atomtests getroffen zu haben
s | Lambsdorff | forderte | die Subventionen für Kohle und Landwirtschaft abzubauen
s | Der Autorenkreis der Bundesrepublik | gefordert | die Einladung an Wolf wegen dessen politischer Vergangenheit zurückzunehmen
s | Wahre Liebhaber | wissen | den froschgrünen Cannabis auch als Zierpflanze zu schätzen
s | die Menschen | versuchten | sich mit Sprüngen aus den oberen Stockwerken ins Freie zu retten
s | Mehrere Regierungschefs von Commonwealth-Ländern | appelliert | die Todesurteile gegen Bürgerrechtler aufzuheben
o | sie | animierten | mit in eine Kneipe zu fahren
s | Großbritannien | forderte | kleine Einzelhändler ganz aus der Richtlinie herauszunehmen
o | die Vereinten Nationen das Internationale Komitee des Roten Kreuzes und Menschenrechtsorganisationen | forderten | sich dafür daß die Menschen in ihre Heimat zurückkehren könnten einzusetzen
